"Date","Loss"
1980-01-03,1.683748
1980-01-04,2.093704
1980-01-05,1.732581
1980-01-07,1.779754
1980-01-07,4.612006
1980-01-10,8.725274
1980-01-10,7.898975
1980-01-16,2.208045
1980-01-16,1.486091
1980-01-19,2.796171
1980-01-21,7.320644
1980-01-21,3.367496
1980-01-24,1.464129
1980-01-25,1.722223
1980-01-26,11.374817
1980-01-26,2.482739
1980-01-28,26.214641
1980-02-03,2.00243
1980-02-05,4.530015
1980-02-07,1.841753
1980-02-10,3.806735
1980-02-13,14.122076
1980-02-16,5.424253
1980-02-19,11.713031
1980-02-20,1.515373
1980-02-21,2.538589
1980-02-22,2.04978
1980-02-23,12.465593
1980-02-25,1.735445
1980-02-27,1.683748
1980-03-07,3.323852
1980-03-13,1.821025
1980-03-13,2.415813
1980-03-13,1.464129
1980-03-17,5.875902
1980-03-20,1.792439
1980-03-21,3.338214
1980-03-22,1.584488
1980-03-26,1.931321
1980-04-06,2.04978
1980-04-10,1.573758
1980-04-11,1.756955
1980-04-14,4.931186
1980-04-15,5.417277
1980-04-16,1.537335
1980-04-25,17.569546
1980-04-25,1.691123
1980-04-26,1.581612
1980-05-01,1.467116
1980-05-01,2.04978
1980-05-02,1.928712
1980-05-02,3.263154
1980-05-04,1.704246
1980-05-07,2.074608
1980-05-09,3.29429
1980-05-10,1.839975
1980-05-16,7.320644
1980-05-18,7.320644
1980-05-20,1.576215
1980-05-20,4.856098
1980-05-21,1.542275
1980-05-26,13.620791
1980-05-29,1.756955
1980-05-29,1.639824
1980-06-02,2.036378
1980-06-03,21.961933
1980-06-11,1.799026
1980-06-12,2.452416
1980-06-15,2.669107
1980-06-15,2.024146
1980-06-16,1.724744
1980-06-17,1.643864
1980-06-21,1.961933
1980-06-30,4.626647
1980-07-02,1.464129
1980-07-04,3.96325
1980-07-04,5.563852
1980-07-07,4.392387
1980-07-10,3.640313
1980-07-12,1.677892
1980-07-14,1.449488
1980-07-15,263.250366
1980-07-25,2.500732
1980-07-26,1.825769
1980-07-26,9.88287
1980-07-28,2.146618
1980-07-29,2.870259
1980-08-07,6.319914
1980-08-08,2.123461
1980-08-08,2.923865
1980-08-11,2.036376
1980-08-18,1.736457
1980-08-18,2.04978
1980-08-20,1.903367
1980-08-21,1.610542
1980-08-23,1.717423
1980-08-23,3.129438
1980-08-27,2.051958
1980-08-28,1.967518
1980-08-28,2.102489
1980-08-28,3.259151
1980-08-30,1.998536
1980-08-30,5.417277
1980-09-02,2.819836
1980-09-04,3.697083
1980-09-05,2.045388
1980-09-05,2.679356
1980-09-08,3.426224
1980-09-11,1.58858
1980-09-12,4.262871
1980-09-12,1.755859
1980-09-14,1.987006
1980-09-15,1.661925
1980-09-15,7.61347
1980-09-15,1.794878
1980-09-15,6.674817
1980-09-25,2.185944
1980-09-28,3.855051
1980-09-30,3.221083
1980-10-01,2.122987
1980-10-01,1.760291
1980-10-06,2.041653
1980-10-07,3.755939
1980-10-07,2.242111
1980-10-08,1.721113
1980-10-09,1.464129
1980-10-12,4.711892
